language,chapter_num,unit_letter,unit_title,chapter_folder,filename,json_file,word_count,section_count,estimated_read_time,faa_sources
en,1,A,Pilot Training,01-regulations,unit-a-pilot-training.md,01-regulations_unit-a-pilot-training.json,15418,14,42,PHAK - Chapter 01 - Introduction To Flying.pdf
en,1,B,Aviation Opportunities,01-regulations,unit-b-aviation-opportunities.md,01-regulations_unit-b-aviation-opportunities.json,13493,13,47,PHAK - Chapter 01 - Introduction To Flying.pdf
en,2,A,Airplanes,02-airplane-systems,unit-a-airplanes.md,02-airplane-systems_unit-a-airplanes.json,12910,13,42,PHAK - Chapter 03 - Aircraft Construction.pdf
en,2,B,The Powerplant and Related Systems,02-airplane-systems,unit-b-the-powerplant-and-related-systems.md,02-airplane-systems_unit-b-the-powerplant-and-related-systems.json,16901,14,60,PHAK - Chapter 07 - Aircraft Systems.pdf
en,2,C,Flight Instruments,02-airplane-systems,unit-c-flight-instruments.md,02-airplane-systems_unit-c-flight-instruments.json,12789,13,47,PHAK - Chapter 08 - Flight Instruments.pdf|PHAK - Chapter 06 - Flight Controls.pdf
en,3,A,Four Forces of Flight,03-aerodynamics,unit-a-four-forces-of-flight.md,03-aerodynamics_unit-a-four-forces-of-flight.json,12639,14,42,PHAK - Chapter 04 - Principles of Flight.pdf
en,3,B,Stability,03-aerodynamics,unit-b-stability.md,03-aerodynamics_unit-b-stability.json,14945,14,47,PHAK - Chapter 05 - Aerodynamics of Flight.pdf
en,3,C,Aerodynamics of Maneuvering Flight,03-aerodynamics,unit-c-aerodynamics-of-maneuvering-flight.md,03-aerodynamics_unit-c-aerodynamics-of-maneuvering-flight.json,13326,13,42,PHAK - Chapter 05 - Aerodynamics of Flight.pdf
en,4,A,Safety of Flight,04-flight-environment,unit-a-safety-of-flight.md,04-flight-environment_unit-a-safety-of-flight.json,15834,14,47,PHAK - Chapter 02 - Aeronautical Decision-Making.pdf
en,4,B,Airports,04-flight-environment,unit-b-airports.md,04-flight-environment_unit-b-airports.json,14343,13,47,PHAK - Chapter 14 - Airport Operations.pdf
en,4,C,Aeronautical Charts,04-flight-environment,unit-c-aeronautical-charts.md,04-flight-environment_unit-c-aeronautical-charts.json,13158,14,42,PHAK - Chapter 16 - Navigation.pdf
en,4,D,Airspace,04-flight-environment,unit-d-airspace.md,04-flight-environment_unit-d-airspace.json,13496,14,42,PHAK - Chapter 15 - Airspace.pdf
en,5,A,ATC Services,05-communication,unit-a-atc-services.md,05-communication_unit-a-atc-services.json,14171,13,47,PHAK - Chapter 09 - Flight Manuals and Other Documents.pdf
en,5,B,Radio Procedures,05-communication,unit-b-radio-procedures.md,05-communication_unit-b-radio-procedures.json,13088,13,42,PHAK - Chapter 09 - Flight Manuals and Other Documents.pdf
en,5,C,Sources of Flight Information,05-communication,unit-c-sources-of-flight-information.md,05-communication_unit-c-sources-of-flight-information.json,14475,14,47,PHAK - Chapter 09 - Flight Manuals and Other Documents.pdf
en,6,A,Basic Weather Theory,06-meteorology,unit-a-basic-weather-theory.md,06-meteorology_unit-a-basic-weather-theory.json,17031,15,47,PHAK - Chapter 12 - Weather Theory.pdf
en,6,B,Weather Patterns,06-meteorology,unit-b-weather-patterns.md,06-meteorology_unit-b-weather-patterns.json,16421,15,47,PHAK - Chapter 12 - Weather Theory.pdf
en,6,C,Weather Hazards,06-meteorology,unit-c-weather-hazards.md,06-meteorology_unit-c-weather-hazards.json,15861,14,47,PHAK - Chapter 12 - Weather Theory.pdf
en,7,A,The Forecasting Process,07-weather-data,unit-a-the-forecasting-process.md,07-weather-data_unit-a-the-forecasting-process.json,13440,13,47,PHAK - Chapter 13 - Aviation Weather Services.pdf
en,7,B,Aviation Weather Reports and Forecasts,07-weather-data,unit-b-aviation-weather-reports-and-forecasts.md,07-weather-data_unit-b-aviation-weather-reports-and-forecasts.json,13322,14,47,PHAK - Chapter 13 - Aviation Weather Services.pdf
en,7,C,Graphic Weather Products,07-weather-data,unit-c-graphic-weather-products.md,07-weather-data_unit-c-graphic-weather-products.json,15290,14,47,PHAK - Chapter 13 - Aviation Weather Services.pdf
en,7,D,Sources of Weather Information,07-weather-data,unit-d-sources-of-weather-information.md,07-weather-data_unit-d-sources-of-weather-information.json,13788,13,42,PHAK - Chapter 13 - Aviation Weather Services.pdf
en,8,A,Predicting Performance,08-performance,unit-a-predicting-performance.md,08-performance_unit-a-predicting-performance.json,15008,14,47,PHAK - Chapter 11 - Aircraft Performance.pdf
en,8,B,Weight and Balance,08-performance,unit-b-weight-and-balance.md,08-performance_unit-b-weight-and-balance.json,12875,14,47,PHAK - Chapter 10 - Weight and Balance.pdf
en,8,C,Flight Computers,08-performance,unit-c-flight-computers.md,08-performance_unit-c-flight-computers.json,14151,13,47,PHAK - Chapter 11 - Aircraft Performance.pdf
en,9,A,Pilotage and Dead Reckoning,09-navigation,unit-a-pilotage-and-dead-reckoning.md,09-navigation_unit-a-pilotage-and-dead-reckoning.json,13558,14,42,PHAK - Chapter 16 - Navigation.pdf
en,9,B,VOR Navigation,09-navigation,unit-b-vor-navigation.md,09-navigation_unit-b-vor-navigation.json,12926,13,42,PHAK - Chapter 16 - Navigation.pdf
en,9,C,Satellite Navigation - GPS,09-navigation,unit-c-satellite-navigation---gps.md,09-navigation_unit-c-satellite-navigation---gps.json,13131,13,42,PHAK - Chapter 16 - Navigation.pdf
en,10,A,Aviation Physiology,10-human-factors,unit-a-aviation-physiology.md,10-human-factors_unit-a-aviation-physiology.json,14975,14,42,PHAK - Chapter 17 - Aeromedical Factors.pdf
en,10,B,Single-Pilot Resource Management,10-human-factors,unit-b-single-pilot-resource-management.md,10-human-factors_unit-b-single-pilot-resource-management.json,16199,13,42,PHAK - Chapter 02 - Aeronautical Decision-Making.pdf
